Episode, Reward, Timesteps, Time taken (s)
Episode: 85, Reward: -124.85, Timesteps: 2538, Time taken: 278.87 s
Episode: 86, Reward: -7.06, Timesteps: 1177, Time taken: 281.56 s
Episode: 87, Reward: -398.34, Timesteps: 5523, Time taken: 285.67 s
Episode: 88, Reward: -177.19, Timesteps: 3025, Time taken: 288.9 s
Episode: 89, Reward: -205.25, Timesteps: 3332, Time taken: 292.21 s
Episode: 90, Reward: -8.95, Timesteps: 1174, Time taken: 294.9 s
Episode: 91, Reward: -82.89, Timesteps: 1926, Time taken: 297.78 s
Episode: 92, Reward: -12.65, Timesteps: 1195, Time taken: 300.28 s
Episode: 93, Reward: -171.45, Timesteps: 2873, Time taken: 303.53 s
Episode: 94, Reward: 28.42, Timesteps: 841, Time taken: 306.05 s
Episode: 95, Reward: -59.86, Timesteps: 1716, Time taken: 309.12 s
Episode: 96, Reward: -15.43, Timesteps: 1330, Time taken: 311.81 s
Episode: 97, Reward: -47.83, Timesteps: 1594, Time taken: 314.72 s
Episode: 98, Reward: -100.41, Timesteps: 2199, Time taken: 317.72 s
Episode: 99, Reward: -217.73, Timesteps: 3638, Time taken: 321.35 s
Episode: 100, Reward: -154.39, Timesteps: 2725, Time taken: 324.33 s
Episode: 101, Reward: -185.35, Timesteps: 3039, Time taken: 327.28 s
Episode: 102, Reward: 14.27, Timesteps: 1009, Time taken: 329.6 s
Episode: 103, Reward: 66.33, Timesteps: 405, Time taken: 331.67 s
Episode: 104, Reward: -59.29, Timesteps: 1710, Time taken: 334.41 s
Episode: 105, Reward: -181.44, Timesteps: 3103, Time taken: 337.96 s
Episode: 106, Reward: -33.32, Timesteps: 1510, Time taken: 340.81 s
Episode: 107, Reward: 0.84, Timesteps: 1061, Time taken: 343.43 s
Episode: 108, Reward: -563.18, Timesteps: 6102, Time taken: 347.97 s
Episode: 109, Reward: 8.03, Timesteps: 1012, Time taken: 350.61 s
Episode: 110, Reward: -272.6, Timesteps: 4164, Time taken: 354.4 s
Episode: 111, Reward: -175.7, Timesteps: 3097, Time taken: 357.72 s
Episode: 112, Reward: -47.1, Timesteps: 1613, Time taken: 360.73 s
Episode: 113, Reward: -58.63, Timesteps: 1799, Time taken: 363.75 s
Episode: 114, Reward: -20.06, Timesteps: 1266, Time taken: 366.41 s
Episode: 115, Reward: -257.74, Timesteps: 3915, Time taken: 369.74 s
Episode: 116, Reward: -118.47, Timesteps: 2382, Time taken: 372.84 s
Episode: 117, Reward: -78.04, Timesteps: 1980, Time taken: 375.54 s
Episode: 118, Reward: -34.06, Timesteps: 1457, Time taken: 378.52 s
Episode: 119, Reward: -200.35, Timesteps: 3290, Time taken: 381.94 s
Episode: 120, Reward: -24.48, Timesteps: 1397, Time taken: 384.61 s
Episode: 121, Reward: 64.02, Timesteps: 411, Time taken: 386.79 s
Episode: 122, Reward: -144.84, Timesteps: 2716, Time taken: 389.92 s
Episode: 123, Reward: -303.35, Timesteps: 4411, Time taken: 393.54 s
Episode: 124, Reward: -270.9, Timesteps: 4150, Time taken: 397.08 s
Episode: 125, Reward: -79.97, Timesteps: 2110, Time taken: 399.87 s
Episode: 126, Reward: -251.93, Timesteps: 3839, Time taken: 403.05 s
Episode: 127, Reward: -260.96, Timesteps: 3959, Time taken: 406.35 s
Episode: 128, Reward: 18.72, Timesteps: 870, Time taken: 408.92 s
Episode: 129, Reward: -276.84, Timesteps: 4185, Time taken: 412.63 s
Episode: 130, Reward: -57.55, Timesteps: 1687, Time taken: 415.16 s
Episode: 131, Reward: 26.51, Timesteps: 828, Time taken: 417.76 s
Episode: 132, Reward: -275.43, Timesteps: 4139, Time taken: 421.33 s
Episode: 133, Reward: -101.94, Timesteps: 2171, Time taken: 424.12 s
Episode: 134, Reward: -0.02, Timesteps: 1160, Time taken: 426.71 s
Episode: 135, Reward: 47.65, Timesteps: 605, Time taken: 428.97 s
Episode: 136, Reward: -129.75, Timesteps: 2457, Time taken: 432.08 s
Episode: 137, Reward: -51.77, Timesteps: 1808, Time taken: 434.59 s
Episode: 138, Reward: -189.52, Timesteps: 3234, Time taken: 437.76 s
Episode: 139, Reward: 32.51, Timesteps: 798, Time taken: 440.07 s
Episode: 140, Reward: -189.1, Timesteps: 3305, Time taken: 443.2 s
Episode: 141, Reward: -156.13, Timesteps: 2879, Time taken: 446.34 s
Episode: 142, Reward: -184.33, Timesteps: 3160, Time taken: 449.35 s
Episode: 143, Reward: 16.76, Timesteps: 920, Time taken: 451.73 s
Episode: 144, Reward: -75.79, Timesteps: 2044, Time taken: 454.6 s
Episode: 145, Reward: -32.1, Timesteps: 1415, Time taken: 457.16 s
Episode: 146, Reward: -396.38, Timesteps: 5293, Time taken: 461.16 s
Episode: 147, Reward: 23.83, Timesteps: 887, Time taken: 463.54 s
Episode: 148, Reward: -1.82, Timesteps: 1146, Time taken: 466.14 s
Episode: 149, Reward: -221.93, Timesteps: 3557, Time taken: 469.33 s
Episode: 150, Reward: -17.53, Timesteps: 1359, Time taken: 471.95 s
Episode: 151, Reward: -168.0, Timesteps: 2963, Time taken: 474.92 s
Episode: 152, Reward: -272.82, Timesteps: 4138, Time taken: 478.39 s
Episode: 153, Reward: -119.01, Timesteps: 2418, Time taken: 481.31 s
Episode: 154, Reward: -93.27, Timesteps: 2220, Time taken: 484.31 s
Episode: 155, Reward: -250.82, Timesteps: 3892, Time taken: 487.89 s
Episode: 156, Reward: 34.38, Timesteps: 760, Time taken: 490.16 s
Episode: 157, Reward: 59.94, Timesteps: 481, Time taken: 492.34 s
Episode: 158, Reward: 64.34, Timesteps: 421, Time taken: 494.76 s
Episode: 159, Reward: -25.35, Timesteps: 1381, Time taken: 497.49 s
Episode: 160, Reward: -119.75, Timesteps: 2370, Time taken: 500.44 s
Episode: 161, Reward: -40.14, Timesteps: 1551, Time taken: 503.29 s
Episode: 162, Reward: -71.4, Timesteps: 1807, Time taken: 505.89 s
Episode: 163, Reward: -247.54, Timesteps: 3788, Time taken: 509.33 s
Episode: 164, Reward: 78.41, Timesteps: 237, Time taken: 511.43 s
Episode: 165, Reward: 80.43, Timesteps: 237, Time taken: 513.55 s
Episode: 166, Reward: -68.46, Timesteps: 1835, Time taken: 516.31 s
Episode: 167, Reward: -141.7, Timesteps: 2746, Time taken: 519.26 s
Episode: 168, Reward: 29.35, Timesteps: 757, Time taken: 521.7 s
Episode: 169, Reward: 67.11, Timesteps: 372, Time taken: 523.9 s
Episode: 170, Reward: 19.19, Timesteps: 934, Time taken: 526.19 s
Episode: 171, Reward: 66.26, Timesteps: 386, Time taken: 528.49 s
Episode: 172, Reward: -40.94, Timesteps: 1620, Time taken: 531.2 s
Episode: 173, Reward: -83.47, Timesteps: 2060, Time taken: 533.96 s
Episode: 174, Reward: 16.81, Timesteps: 924, Time taken: 536.34 s
Episode: 175, Reward: -360.56, Timesteps: 4781, Time taken: 539.92 s
Episode: 176, Reward: 70.57, Timesteps: 340, Time taken: 542.13 s
Episode: 177, Reward: -16.81, Timesteps: 1352, Time taken: 544.54 s
Episode: 178, Reward: -98.84, Timesteps: 2253, Time taken: 547.35 s
Episode: 179, Reward: -10.68, Timesteps: 1240, Time taken: 549.8 s
Episode: 180, Reward: -7.89, Timesteps: 1222, Time taken: 552.25 s
Episode: 181, Reward: -210.58, Timesteps: 3381, Time taken: 555.41 s
Episode: 182, Reward: -117.52, Timesteps: 2458, Time taken: 558.34 s
Episode: 183, Reward: -98.4, Timesteps: 2095, Time taken: 561.04 s
Episode: 184, Reward: 52.33, Timesteps: 576, Time taken: 563.53 s
Episode: 185, Reward: -410.83, Timesteps: 5805, Time taken: 568.06 s
Episode: 186, Reward: 37.18, Timesteps: 727, Time taken: 570.59 s
Episode: 187, Reward: -257.31, Timesteps: 3904, Time taken: 573.94 s
Episode: 188, Reward: -372.43, Timesteps: 5261, Time taken: 578.01 s
Episode: 189, Reward: -172.98, Timesteps: 3045, Time taken: 581.15 s
Episode: 190, Reward: -79.46, Timesteps: 1996, Time taken: 583.87 s
Episode: 191, Reward: -157.55, Timesteps: 2851, Time taken: 586.89 s
Episode: 192, Reward: -126.08, Timesteps: 2465, Time taken: 589.96 s
Episode: 193, Reward: 17.37, Timesteps: 857, Time taken: 592.16 s
Episode: 194, Reward: -50.06, Timesteps: 1652, Time taken: 594.64 s
Episode: 195, Reward: -190.89, Timesteps: 3272, Time taken: 597.78 s
Episode: 196, Reward: 64.79, Timesteps: 398, Time taken: 599.82 s
Episode: 197, Reward: -20.58, Timesteps: 1242, Time taken: 602.35 s
Episode: 198, Reward: 34.2, Timesteps: 775, Time taken: 604.67 s
Episode: 199, Reward: -68.31, Timesteps: 1770, Time taken: 607.39 s
Episode: 200, Reward: 60.9, Timesteps: 432, Time taken: 609.73 s
Episode: 201, Reward: -284.76, Timesteps: 4302, Time taken: 613.24 s
Episode: 202, Reward: 41.39, Timesteps: 673, Time taken: 615.41 s
Episode: 203, Reward: -58.94, Timesteps: 1869, Time taken: 618.38 s
Episode: 204, Reward: 77.73, Timesteps: 254, Time taken: 620.64 s
Episode: 205, Reward: -118.17, Timesteps: 2362, Time taken: 623.47 s
Episode: 206, Reward: 2.21, Timesteps: 1097, Time taken: 626.12 s
Episode: 207, Reward: -550.59, Timesteps: 6194, Time taken: 630.44 s
Episode: 208, Reward: 19.09, Timesteps: 881, Time taken: 633.09 s
Episode: 209, Reward: -421.34, Timesteps: 5802, Time taken: 637.41 s
Episode: 210, Reward: -37.36, Timesteps: 1594, Time taken: 639.87 s
Episode: 211, Reward: 22.24, Timesteps: 794, Time taken: 642.22 s
Episode: 212, Reward: -14.03, Timesteps: 1345, Time taken: 644.81 s
Episode: 213, Reward: -99.99, Timesteps: 2163, Time taken: 647.64 s
Episode: 214, Reward: -77.54, Timesteps: 2077, Time taken: 650.58 s
Episode: 215, Reward: -247.86, Timesteps: 3739, Time taken: 653.85 s
Episode: 216, Reward: -161.73, Timesteps: 2949, Time taken: 657.07 s
Episode: 217, Reward: 42.34, Timesteps: 656, Time taken: 659.44 s
Episode: 218, Reward: -448.49, Timesteps: 6168, Time taken: 664.08 s
Episode: 219, Reward: -26.63, Timesteps: 1406, Time taken: 666.69 s
Episode: 220, Reward: -41.22, Timesteps: 1605, Time taken: 669.48 s
Episode: 221, Reward: -191.79, Timesteps: 3221, Time taken: 672.79 s
Episode: 222, Reward: 41.48, Timesteps: 666, Time taken: 675.07 s
Episode: 223, Reward: 28.83, Timesteps: 831, Time taken: 677.56 s
Episode: 224, Reward: -368.81, Timesteps: 5064, Time taken: 681.51 s
Episode: 225, Reward: 48.85, Timesteps: 601, Time taken: 683.66 s
Episode: 226, Reward: -126.98, Timesteps: 2499, Time taken: 686.64 s
Episode: 227, Reward: 13.76, Timesteps: 888, Time taken: 688.99 s
Episode: 228, Reward: -350.86, Timesteps: 5048, Time taken: 692.93 s
Episode: 229, Reward: -24.78, Timesteps: 1410, Time taken: 695.49 s
Episode: 230, Reward: -313.56, Timesteps: 4630, Time taken: 699.36 s
Episode: 231, Reward: -150.06, Timesteps: 2804, Time taken: 702.56 s
Episode: 232, Reward: -47.31, Timesteps: 1657, Time taken: 705.02 s
Episode: 233, Reward: -47.44, Timesteps: 1642, Time taken: 707.74 s
Episode: 234, Reward: -210.55, Timesteps: 3446, Time taken: 711.1 s
Episode: 235, Reward: -109.8, Timesteps: 2374, Time taken: 714.01 s
Episode: 236, Reward: 61.16, Timesteps: 455, Time taken: 716.07 s
Episode: 237, Reward: -84.39, Timesteps: 2092, Time taken: 718.83 s
Episode: 238, Reward: 73.36, Timesteps: 317, Time taken: 720.87 s
Episode: 239, Reward: 58.58, Timesteps: 431, Time taken: 723.04 s
Episode: 240, Reward: -197.41, Timesteps: 3223, Time taken: 726.26 s
Episode: 241, Reward: 63.94, Timesteps: 410, Time taken: 728.48 s
Episode: 242, Reward: -44.36, Timesteps: 1552, Time taken: 731.04 s
Episode: 243, Reward: 71.4, Timesteps: 320, Time taken: 733.28 s
Episode: 244, Reward: -64.73, Timesteps: 1832, Time taken: 735.91 s
Episode: 245, Reward: 34.54, Timesteps: 742, Time taken: 738.16 s
Episode: 246, Reward: -91.56, Timesteps: 2140, Time taken: 740.91 s
Episode: 247, Reward: -24.46, Timesteps: 1392, Time taken: 743.25 s
Episode: 248, Reward: -214.98, Timesteps: 3538, Time taken: 746.57 s
Episode: 249, Reward: -42.63, Timesteps: 1534, Time taken: 749.16 s
Episode: 250, Reward: -333.32, Timesteps: 4746, Time taken: 752.75 s
Episode: 251, Reward: -43.78, Timesteps: 1519, Time taken: 755.47 s
Episode: 252, Reward: -19.69, Timesteps: 1307, Time taken: 758.21 s
Episode: 253, Reward: -75.14, Timesteps: 1999, Time taken: 760.78 s
Episode: 254, Reward: -53.92, Timesteps: 1726, Time taken: 763.4 s
Episode: 255, Reward: -73.92, Timesteps: 1986, Time taken: 766.22 s
Episode: 256, Reward: -143.31, Timesteps: 2794, Time taken: 769.26 s
Episode: 257, Reward: 65.75, Timesteps: 407, Time taken: 771.5 s
Episode: 258, Reward: 34.41, Timesteps: 735, Time taken: 774.0 s
Episode: 259, Reward: -351.47, Timesteps: 5145, Time taken: 777.84 s
Episode: 260, Reward: -14.07, Timesteps: 1286, Time taken: 780.27 s
Episode: 261, Reward: -112.65, Timesteps: 2444, Time taken: 783.26 s
Episode: 262, Reward: 48.42, Timesteps: 580, Time taken: 785.92 s
Episode: 263, Reward: -12.8, Timesteps: 1206, Time taken: 788.54 s
Episode: 264, Reward: 0.42, Timesteps: 1143, Time taken: 790.9 s
Episode: 265, Reward: -185.68, Timesteps: 3245, Time taken: 794.18 s
Episode: 266, Reward: -115.02, Timesteps: 2373, Time taken: 797.28 s
Episode: 267, Reward: -44.79, Timesteps: 1574, Time taken: 799.79 s
Episode: 268, Reward: 40.85, Timesteps: 612, Time taken: 802.15 s
Episode: 269, Reward: 11.4, Timesteps: 978, Time taken: 804.54 s
Episode: 270, Reward: 34.76, Timesteps: 777, Time taken: 806.92 s
Episode: 271, Reward: -16.33, Timesteps: 1307, Time taken: 809.47 s
Episode: 272, Reward: 62.7, Timesteps: 400, Time taken: 811.7 s
Episode: 273, Reward: -277.92, Timesteps: 4225, Time taken: 815.1 s
Episode: 274, Reward: 48.97, Timesteps: 545, Time taken: 817.44 s
Episode: 275, Reward: -234.4, Timesteps: 3782, Time taken: 820.89 s
Episode: 276, Reward: -89.89, Timesteps: 2182, Time taken: 823.85 s
Episode: 277, Reward: 48.87, Timesteps: 582, Time taken: 826.19 s
Episode: 278, Reward: 44.8, Timesteps: 576, Time taken: 828.37 s
Episode: 279, Reward: -167.65, Timesteps: 2937, Time taken: 831.4 s
Episode: 280, Reward: -21.02, Timesteps: 1284, Time taken: 833.89 s
Episode: 281, Reward: -127.29, Timesteps: 2434, Time taken: 836.76 s
Episode: 282, Reward: -123.25, Timesteps: 2512, Time taken: 839.74 s
Episode: 283, Reward: 40.16, Timesteps: 675, Time taken: 841.93 s
Episode: 284, Reward: -217.69, Timesteps: 3485, Time taken: 845.16 s
Episode: 285, Reward: 68.5, Timesteps: 382, Time taken: 847.13 s
Episode: 286, Reward: -127.49, Timesteps: 2604, Time taken: 850.36 s
Episode: 287, Reward: -250.34, Timesteps: 3879, Time taken: 853.77 s
Episode: 288, Reward: -76.09, Timesteps: 1975, Time taken: 856.44 s
Episode: 289, Reward: -367.11, Timesteps: 5267, Time taken: 860.26 s
