Episode, Reward, Timesteps, Time taken (s)
Episode: 1, Reward: -0.25, Timesteps: 20, Time taken: 0.84 s
Episode: 2, Reward: -0.26, Timesteps: 20, Time taken: 1.59 s
Episode: 3, Reward: -0.26, Timesteps: 20, Time taken: 2.29 s
Episode: 4, Reward: -1.59, Timesteps: 20, Time taken: 2.92 s
Episode: 5, Reward: -1.73, Timesteps: 20, Time taken: 3.7 s
Episode: 6, Reward: -1.62, Timesteps: 20, Time taken: 4.32 s
Episode: 7, Reward: -1.58, Timesteps: 20, Time taken: 4.94 s
Episode: 8, Reward: -1.47, Timesteps: 20, Time taken: 5.56 s
Episode: 9, Reward: -1.68, Timesteps: 20, Time taken: 6.16 s
Episode: 10, Reward: -1.61, Timesteps: 20, Time taken: 6.99 s
Episode: 11, Reward: -1.46, Timesteps: 20, Time taken: 7.67 s
Episode: 12, Reward: -1.46, Timesteps: 20, Time taken: 8.37 s
Episode: 13, Reward: -1.67, Timesteps: 20, Time taken: 9.12 s
Episode: 14, Reward: -1.57, Timesteps: 20, Time taken: 9.94 s
Episode: 15, Reward: -1.51, Timesteps: 20, Time taken: 10.58 s
Episode: 16, Reward: -1.66, Timesteps: 20, Time taken: 11.25 s
Episode: 17, Reward: -1.67, Timesteps: 20, Time taken: 11.92 s
Episode: 18, Reward: -1.68, Timesteps: 20, Time taken: 12.55 s
Episode: 19, Reward: -1.67, Timesteps: 20, Time taken: 13.23 s
Episode: 20, Reward: -1.39, Timesteps: 20, Time taken: 13.92 s
Episode: 21, Reward: -1.61, Timesteps: 20, Time taken: 14.56 s
Episode: 22, Reward: -1.76, Timesteps: 20, Time taken: 15.25 s
Episode: 23, Reward: -1.66, Timesteps: 20, Time taken: 15.97 s
Episode: 24, Reward: -1.51, Timesteps: 20, Time taken: 16.59 s
Episode: 25, Reward: -1.64, Timesteps: 20, Time taken: 17.27 s
Episode: 26, Reward: -1.59, Timesteps: 20, Time taken: 17.86 s
Episode: 27, Reward: -1.6, Timesteps: 20, Time taken: 18.47 s
Episode: 28, Reward: -1.61, Timesteps: 20, Time taken: 19.12 s
Episode: 29, Reward: -1.59, Timesteps: 20, Time taken: 19.83 s
Episode: 30, Reward: -1.52, Timesteps: 20, Time taken: 20.64 s
Episode: 31, Reward: -1.68, Timesteps: 20, Time taken: 21.38 s
Episode: 32, Reward: -1.53, Timesteps: 20, Time taken: 22.18 s
Episode: 33, Reward: -1.6, Timesteps: 20, Time taken: 22.97 s
Episode: 34, Reward: -1.79, Timesteps: 20, Time taken: 23.66 s
Episode: 35, Reward: -1.82, Timesteps: 20, Time taken: 24.26 s
Episode: 36, Reward: -1.69, Timesteps: 20, Time taken: 24.89 s
Episode: 37, Reward: -1.48, Timesteps: 20, Time taken: 25.48 s
Episode: 38, Reward: -1.54, Timesteps: 20, Time taken: 26.22 s
Episode: 39, Reward: -1.35, Timesteps: 20, Time taken: 26.94 s
Episode: 40, Reward: -1.81, Timesteps: 20, Time taken: 27.75 s
Episode: 41, Reward: -1.42, Timesteps: 20, Time taken: 28.36 s
Episode: 42, Reward: -1.54, Timesteps: 20, Time taken: 29.12 s
Episode: 43, Reward: -1.81, Timesteps: 20, Time taken: 29.88 s
Episode: 44, Reward: -1.48, Timesteps: 20, Time taken: 30.56 s
Episode: 45, Reward: -1.57, Timesteps: 20, Time taken: 31.21 s
Episode: 46, Reward: -1.68, Timesteps: 20, Time taken: 32.0 s
