Episode, Reward, Timesteps, Time taken (s)
Episode: 1, Reward: -51361.0, Timesteps: 7993, Time taken: 5.25 s
Episode: 2, Reward: -65508.05, Timesteps: 8000, Time taken: 10.5 s
Episode: 3, Reward: -57965.55, Timesteps: 7136, Time taken: 15.27 s
Episode: 4, Reward: -61297.96, Timesteps: 7487, Time taken: 20.45 s
Episode: 5, Reward: -56684.24, Timesteps: 7068, Time taken: 25.05 s
Episode: 6, Reward: -57493.24, Timesteps: 7159, Time taken: 29.77 s
Episode: 7, Reward: -57306.31, Timesteps: 7326, Time taken: 34.67 s
Episode: 8, Reward: -59000.89, Timesteps: 7144, Time taken: 39.4 s
Episode: 9, Reward: -59310.27, Timesteps: 7251, Time taken: 44.14 s
Episode: 10, Reward: -65073.97, Timesteps: 7981, Time taken: 49.3 s
Episode: 11, Reward: -64822.49, Timesteps: 8000, Time taken: 54.43 s
Episode: 12, Reward: -61566.82, Timesteps: 8000, Time taken: 59.7 s
Episode: 13, Reward: -63313.56, Timesteps: 8000, Time taken: 64.87 s
Episode: 14, Reward: -62066.79, Timesteps: 8000, Time taken: 70.13 s
Episode: 15, Reward: -63429.02, Timesteps: 7901, Time taken: 75.09 s
Episode: 16, Reward: -59245.46, Timesteps: 7178, Time taken: 79.84 s
Episode: 17, Reward: -55724.4, Timesteps: 7031, Time taken: 84.5 s
Episode: 18, Reward: -53240.63, Timesteps: 6660, Time taken: 89.12 s
Episode: 19, Reward: -54200.96, Timesteps: 6620, Time taken: 93.97 s
Episode: 20, Reward: -61354.06, Timesteps: 7991, Time taken: 99.01 s
Episode: 21, Reward: -58340.4, Timesteps: 7620, Time taken: 104.26 s
Episode: 22, Reward: -62552.0, Timesteps: 7960, Time taken: 109.26 s
Episode: 23, Reward: -62773.73, Timesteps: 8000, Time taken: 114.39 s
Episode: 24, Reward: -63771.45, Timesteps: 7860, Time taken: 119.5 s
Episode: 25, Reward: -65418.37, Timesteps: 7994, Time taken: 124.66 s
Episode: 26, Reward: -60107.56, Timesteps: 7500, Time taken: 129.5 s
Episode: 27, Reward: -63879.05, Timesteps: 8000, Time taken: 134.64 s
Episode: 28, Reward: -59920.28, Timesteps: 7993, Time taken: 139.59 s
Episode: 29, Reward: -65489.47, Timesteps: 8000, Time taken: 144.65 s
Episode: 30, Reward: -62159.47, Timesteps: 8000, Time taken: 149.84 s
Episode: 31, Reward: -63331.17, Timesteps: 8000, Time taken: 155.02 s
Episode: 32, Reward: -65368.46, Timesteps: 7995, Time taken: 160.06 s
Episode: 33, Reward: -59432.23, Timesteps: 8000, Time taken: 165.32 s
Episode: 34, Reward: -65640.73, Timesteps: 8000, Time taken: 170.48 s
Episode: 35, Reward: -65411.54, Timesteps: 7996, Time taken: 175.45 s
Episode: 36, Reward: -64270.86, Timesteps: 7880, Time taken: 180.64 s
Episode: 37, Reward: -61832.34, Timesteps: 7823, Time taken: 185.75 s
Episode: 38, Reward: -63867.66, Timesteps: 7990, Time taken: 190.82 s
Episode: 39, Reward: -61607.34, Timesteps: 7980, Time taken: 195.91 s
Episode: 40, Reward: -64927.93, Timesteps: 8000, Time taken: 200.96 s
Episode: 41, Reward: -60332.63, Timesteps: 7560, Time taken: 206.07 s
Episode: 42, Reward: -66232.37, Timesteps: 8000, Time taken: 211.04 s
Episode: 43, Reward: -64084.85, Timesteps: 7990, Time taken: 216.07 s
Episode: 44, Reward: -63263.1, Timesteps: 7982, Time taken: 221.11 s
Episode: 45, Reward: -59715.65, Timesteps: 8000, Time taken: 226.12 s
Episode: 46, Reward: -65991.09, Timesteps: 8000, Time taken: 231.2 s
Episode: 47, Reward: -65868.73, Timesteps: 8000, Time taken: 236.45 s
Episode: 48, Reward: -65141.85, Timesteps: 8000, Time taken: 241.69 s
Episode: 49, Reward: -64533.56, Timesteps: 7984, Time taken: 246.8 s
Episode: 50, Reward: -64133.07, Timesteps: 8000, Time taken: 251.98 s
Episode: 51, Reward: -65938.51, Timesteps: 8000, Time taken: 256.89 s
Episode: 52, Reward: -65599.03, Timesteps: 7995, Time taken: 262.1 s
Episode: 53, Reward: -65269.78, Timesteps: 8000, Time taken: 267.09 s
Episode: 54, Reward: -59629.09, Timesteps: 7800, Time taken: 272.13 s
Episode: 55, Reward: -64673.96, Timesteps: 7981, Time taken: 277.2 s
Episode: 56, Reward: -65194.39, Timesteps: 8000, Time taken: 282.5 s
Episode: 57, Reward: -65981.19, Timesteps: 8000, Time taken: 287.81 s
Episode: 58, Reward: -63960.06, Timesteps: 8000, Time taken: 293.08 s
Episode: 59, Reward: -65210.94, Timesteps: 7973, Time taken: 298.01 s
Episode: 60, Reward: -65899.01, Timesteps: 7999, Time taken: 303.11 s
Episode: 61, Reward: -63831.58, Timesteps: 8000, Time taken: 308.12 s
Episode: 62, Reward: -65561.34, Timesteps: 8000, Time taken: 313.21 s
Episode: 63, Reward: -64971.14, Timesteps: 7999, Time taken: 318.64 s
Episode: 64, Reward: -65743.55, Timesteps: 8000, Time taken: 323.7 s
Episode: 65, Reward: -65577.23, Timesteps: 8000, Time taken: 328.71 s
Episode: 66, Reward: -61013.67, Timesteps: 7993, Time taken: 333.74 s
Episode: 67, Reward: -64276.98, Timesteps: 8000, Time taken: 338.9 s
Episode: 68, Reward: -65163.52, Timesteps: 7984, Time taken: 344.05 s
Episode: 69, Reward: -65308.02, Timesteps: 7996, Time taken: 349.18 s
Episode: 70, Reward: -63783.75, Timesteps: 8000, Time taken: 354.46 s
Episode: 71, Reward: -64398.19, Timesteps: 8000, Time taken: 359.51 s
Episode: 72, Reward: -65901.8, Timesteps: 8000, Time taken: 364.86 s
Episode: 73, Reward: -57689.3, Timesteps: 7921, Time taken: 369.98 s
Episode: 74, Reward: -58871.02, Timesteps: 7987, Time taken: 375.12 s
Episode: 75, Reward: -55088.8, Timesteps: 8000, Time taken: 380.38 s
Episode: 76, Reward: -57717.1, Timesteps: 7342, Time taken: 385.02 s
Episode: 77, Reward: -56349.76, Timesteps: 7230, Time taken: 389.7 s
Episode: 78, Reward: -58598.88, Timesteps: 7147, Time taken: 394.49 s
Episode: 79, Reward: -56589.08, Timesteps: 7195, Time taken: 399.75 s
Episode: 80, Reward: -58175.52, Timesteps: 7134, Time taken: 404.54 s
Episode: 81, Reward: -58398.45, Timesteps: 7059, Time taken: 409.39 s
Episode: 82, Reward: -56761.89, Timesteps: 7139, Time taken: 414.47 s
Episode: 83, Reward: -58664.84, Timesteps: 7147, Time taken: 419.19 s
Episode: 84, Reward: -56301.2, Timesteps: 7247, Time taken: 424.18 s
Episode: 85, Reward: -58357.02, Timesteps: 7157, Time taken: 429.19 s
Episode: 86, Reward: -57872.24, Timesteps: 7138, Time taken: 434.0 s
Episode: 87, Reward: -58474.73, Timesteps: 7181, Time taken: 438.96 s
Episode: 88, Reward: -58547.79, Timesteps: 7156, Time taken: 443.89 s
Episode: 89, Reward: -57378.96, Timesteps: 7338, Time taken: 449.21 s
Episode: 90, Reward: -57761.42, Timesteps: 7332, Time taken: 454.27 s
Episode: 91, Reward: -58032.41, Timesteps: 7161, Time taken: 458.92 s
Episode: 92, Reward: -57785.96, Timesteps: 7062, Time taken: 463.75 s
Episode: 93, Reward: -56682.96, Timesteps: 7256, Time taken: 468.78 s
Episode: 94, Reward: -58287.48, Timesteps: 7175, Time taken: 473.5 s
Episode: 95, Reward: -58256.42, Timesteps: 7120, Time taken: 478.15 s
Episode: 96, Reward: -57826.07, Timesteps: 7210, Time taken: 483.32 s
Episode: 97, Reward: -55703.15, Timesteps: 7704, Time taken: 488.46 s
Episode: 98, Reward: -55480.57, Timesteps: 7306, Time taken: 493.34 s
Episode: 99, Reward: -60075.98, Timesteps: 8000, Time taken: 498.4 s
Episode: 100, Reward: -70464.05, Timesteps: 8000, Time taken: 503.46 s
Episode: 101, Reward: -75735.86, Timesteps: 8000, Time taken: 508.74 s
Episode: 102, Reward: -69684.62, Timesteps: 8000, Time taken: 513.88 s
Episode: 103, Reward: -67135.69, Timesteps: 8000, Time taken: 518.89 s
Episode: 104, Reward: -71511.19, Timesteps: 8000, Time taken: 524.07 s
Episode: 105, Reward: -61823.72, Timesteps: 8000, Time taken: 529.19 s
Episode: 106, Reward: -63363.08, Timesteps: 7680, Time taken: 534.53 s
Episode: 107, Reward: -53393.21, Timesteps: 7520, Time taken: 539.45 s
Episode: 108, Reward: -48788.62, Timesteps: 7365, Time taken: 544.29 s
Episode: 109, Reward: -54508.68, Timesteps: 7245, Time taken: 549.1 s
Episode: 110, Reward: -56180.99, Timesteps: 7247, Time taken: 553.93 s
Episode: 111, Reward: -47600.78, Timesteps: 7479, Time taken: 558.75 s
Episode: 112, Reward: -58652.89, Timesteps: 7969, Time taken: 563.61 s
Episode: 113, Reward: -55904.97, Timesteps: 7696, Time taken: 568.54 s
Episode: 114, Reward: -55557.25, Timesteps: 7797, Time taken: 573.64 s
Episode: 115, Reward: -59103.79, Timesteps: 7962, Time taken: 578.56 s
Episode: 116, Reward: -54238.7, Timesteps: 7676, Time taken: 583.65 s
Episode: 117, Reward: -49417.6, Timesteps: 7322, Time taken: 588.72 s
Episode: 118, Reward: -52155.69, Timesteps: 7281, Time taken: 593.49 s
Episode: 119, Reward: -52129.75, Timesteps: 7329, Time taken: 598.54 s
Episode: 120, Reward: -52377.82, Timesteps: 7007, Time taken: 603.16 s
Episode: 121, Reward: -52962.15, Timesteps: 7384, Time taken: 608.11 s
Episode: 122, Reward: -50488.86, Timesteps: 7000, Time taken: 612.93 s
Episode: 123, Reward: -50393.69, Timesteps: 7187, Time taken: 617.79 s
Episode: 124, Reward: -38053.95, Timesteps: 5063, Time taken: 621.99 s
Episode: 125, Reward: -50210.56, Timesteps: 6929, Time taken: 626.95 s
Episode: 126, Reward: -49359.57, Timesteps: 6702, Time taken: 631.72 s
Episode: 127, Reward: -52741.84, Timesteps: 7118, Time taken: 636.74 s
Episode: 128, Reward: -50488.93, Timesteps: 6559, Time taken: 641.3 s
Episode: 129, Reward: -55742.61, Timesteps: 7214, Time taken: 646.2 s
Episode: 130, Reward: -53811.59, Timesteps: 7226, Time taken: 651.13 s
Episode: 131, Reward: -56196.15, Timesteps: 7175, Time taken: 655.96 s
Episode: 132, Reward: -55118.79, Timesteps: 7212, Time taken: 660.74 s
Episode: 133, Reward: -55755.2, Timesteps: 7152, Time taken: 665.4 s
Episode: 134, Reward: -52088.3, Timesteps: 7256, Time taken: 670.65 s
Episode: 135, Reward: -54902.79, Timesteps: 7318, Time taken: 675.64 s
Episode: 136, Reward: -53691.05, Timesteps: 7312, Time taken: 680.69 s
Episode: 137, Reward: -52980.02, Timesteps: 7360, Time taken: 685.48 s
Episode: 138, Reward: -53974.52, Timesteps: 7523, Time taken: 690.78 s
Episode: 139, Reward: -49602.29, Timesteps: 7717, Time taken: 695.92 s
Episode: 140, Reward: -52945.63, Timesteps: 7266, Time taken: 700.67 s
Episode: 141, Reward: -53598.85, Timesteps: 7319, Time taken: 705.5 s
Episode: 142, Reward: -51614.12, Timesteps: 6888, Time taken: 710.16 s
Episode: 143, Reward: -48169.75, Timesteps: 6638, Time taken: 714.79 s
Episode: 144, Reward: -51759.71, Timesteps: 7516, Time taken: 719.92 s
Episode: 145, Reward: -56450.67, Timesteps: 7203, Time taken: 724.69 s
Episode: 146, Reward: -55396.49, Timesteps: 6992, Time taken: 729.31 s
Episode: 147, Reward: -51628.37, Timesteps: 6848, Time taken: 733.98 s
Episode: 148, Reward: -50620.55, Timesteps: 6705, Time taken: 738.68 s
Episode: 149, Reward: -53407.12, Timesteps: 7137, Time taken: 743.49 s
Episode: 150, Reward: -47554.45, Timesteps: 6151, Time taken: 747.85 s
Episode: 151, Reward: -51749.19, Timesteps: 6746, Time taken: 752.61 s
Episode: 152, Reward: -54589.52, Timesteps: 7189, Time taken: 757.25 s
Episode: 153, Reward: -54987.41, Timesteps: 7125, Time taken: 762.19 s
Episode: 154, Reward: -51842.79, Timesteps: 6927, Time taken: 766.9 s
Episode: 155, Reward: -52730.05, Timesteps: 7512, Time taken: 771.78 s
Episode: 156, Reward: -53942.03, Timesteps: 6751, Time taken: 776.33 s
Episode: 157, Reward: -54247.31, Timesteps: 7084, Time taken: 781.09 s
Episode: 158, Reward: -51309.88, Timesteps: 6879, Time taken: 785.93 s
Episode: 159, Reward: -53873.42, Timesteps: 6891, Time taken: 790.44 s
Episode: 160, Reward: -58137.37, Timesteps: 7415, Time taken: 795.18 s
Episode: 161, Reward: -54870.77, Timesteps: 7223, Time taken: 799.93 s
Episode: 162, Reward: -54025.49, Timesteps: 7234, Time taken: 804.89 s
Episode: 163, Reward: -54307.3, Timesteps: 7371, Time taken: 809.8 s
Episode: 164, Reward: -53852.59, Timesteps: 7035, Time taken: 814.62 s
Episode: 165, Reward: -43129.54, Timesteps: 5539, Time taken: 818.79 s
Episode: 166, Reward: -49189.45, Timesteps: 6326, Time taken: 823.37 s
Episode: 167, Reward: -52821.52, Timesteps: 6960, Time taken: 828.11 s
Episode: 168, Reward: -49553.0, Timesteps: 6558, Time taken: 832.78 s
Episode: 169, Reward: -52684.45, Timesteps: 6764, Time taken: 837.61 s
Episode: 170, Reward: -50906.36, Timesteps: 6641, Time taken: 842.13 s
Episode: 171, Reward: -46166.37, Timesteps: 6191, Time taken: 846.52 s
Episode: 172, Reward: -47238.64, Timesteps: 6149, Time taken: 850.85 s
Episode: 173, Reward: -52558.68, Timesteps: 6897, Time taken: 855.67 s
Episode: 174, Reward: -52078.52, Timesteps: 6782, Time taken: 860.57 s
Episode: 175, Reward: -56642.99, Timesteps: 7342, Time taken: 865.26 s
Episode: 176, Reward: -45071.16, Timesteps: 5776, Time taken: 869.53 s
Episode: 177, Reward: -49675.96, Timesteps: 6394, Time taken: 874.18 s
Episode: 178, Reward: -49311.4, Timesteps: 6729, Time taken: 878.98 s
Episode: 179, Reward: -47376.11, Timesteps: 6503, Time taken: 883.46 s
Episode: 180, Reward: -48481.11, Timesteps: 6263, Time taken: 888.0 s
Episode: 181, Reward: -48549.88, Timesteps: 6365, Time taken: 892.72 s
Episode: 182, Reward: -48368.84, Timesteps: 6210, Time taken: 897.39 s
Episode: 183, Reward: -54747.25, Timesteps: 6939, Time taken: 902.22 s
Episode: 184, Reward: -44288.12, Timesteps: 5777, Time taken: 906.55 s
Episode: 185, Reward: -45792.35, Timesteps: 5987, Time taken: 910.93 s
Episode: 186, Reward: -46878.14, Timesteps: 6066, Time taken: 915.26 s
Episode: 187, Reward: -45920.18, Timesteps: 5969, Time taken: 919.97 s
Episode: 188, Reward: -44700.27, Timesteps: 5607, Time taken: 924.3 s
Episode: 189, Reward: -53469.34, Timesteps: 6710, Time taken: 928.78 s
Episode: 190, Reward: -52641.89, Timesteps: 6750, Time taken: 933.5 s
Episode: 191, Reward: -45076.22, Timesteps: 5987, Time taken: 937.75 s
Episode: 192, Reward: -51245.51, Timesteps: 6948, Time taken: 942.56 s
Episode: 193, Reward: -53451.57, Timesteps: 7070, Time taken: 947.37 s
Episode: 194, Reward: -53927.65, Timesteps: 6854, Time taken: 952.12 s
Episode: 195, Reward: -49580.29, Timesteps: 6700, Time taken: 956.97 s
Episode: 196, Reward: -51796.53, Timesteps: 6999, Time taken: 961.75 s
Episode: 197, Reward: -54400.42, Timesteps: 6938, Time taken: 966.4 s
Episode: 198, Reward: -37108.91, Timesteps: 4891, Time taken: 970.51 s
Episode: 199, Reward: -37702.96, Timesteps: 4791, Time taken: 974.46 s
Episode: 200, Reward: -33492.41, Timesteps: 4463, Time taken: 978.31 s
Episode: 201, Reward: -30275.47, Timesteps: 4252, Time taken: 982.11 s
Episode: 202, Reward: -48637.77, Timesteps: 6487, Time taken: 986.99 s
Episode: 203, Reward: -40867.51, Timesteps: 5330, Time taken: 991.48 s
Episode: 204, Reward: -45559.87, Timesteps: 6858, Time taken: 996.39 s
Episode: 205, Reward: -43222.43, Timesteps: 7206, Time taken: 1001.22 s
Episode: 206, Reward: -38100.38, Timesteps: 5239, Time taken: 1005.34 s
Episode: 207, Reward: -28544.36, Timesteps: 3909, Time taken: 1009.05 s
Episode: 208, Reward: -36796.73, Timesteps: 5675, Time taken: 1013.28 s
Episode: 209, Reward: -30667.39, Timesteps: 4393, Time taken: 1017.23 s
Episode: 210, Reward: -43821.03, Timesteps: 6250, Time taken: 1021.79 s
Episode: 211, Reward: -36580.39, Timesteps: 4852, Time taken: 1025.8 s
Episode: 212, Reward: -40827.14, Timesteps: 5549, Time taken: 1029.9 s
Episode: 213, Reward: -48248.91, Timesteps: 6191, Time taken: 1034.31 s
Episode: 214, Reward: -48204.66, Timesteps: 6547, Time taken: 1039.46 s
Episode: 215, Reward: -43177.41, Timesteps: 5828, Time taken: 1043.81 s
Episode: 216, Reward: -43863.87, Timesteps: 5844, Time taken: 1048.27 s
Episode: 217, Reward: -36448.66, Timesteps: 5050, Time taken: 1052.36 s
Episode: 218, Reward: -37729.07, Timesteps: 5332, Time taken: 1056.47 s
Episode: 219, Reward: -32081.94, Timesteps: 4110, Time taken: 1060.12 s
Episode: 220, Reward: -42565.62, Timesteps: 5654, Time taken: 1064.3 s
Episode: 221, Reward: -45676.32, Timesteps: 5990, Time taken: 1068.63 s
Episode: 222, Reward: -30984.32, Timesteps: 4066, Time taken: 1072.48 s
Episode: 223, Reward: -39444.71, Timesteps: 5429, Time taken: 1076.86 s
Episode: 224, Reward: -29877.35, Timesteps: 4289, Time taken: 1080.9 s
Episode: 225, Reward: -47923.84, Timesteps: 6378, Time taken: 1085.76 s
Episode: 226, Reward: -42405.42, Timesteps: 5492, Time taken: 1089.89 s
Episode: 227, Reward: -45963.54, Timesteps: 6049, Time taken: 1094.12 s
Episode: 228, Reward: -46163.47, Timesteps: 6015, Time taken: 1098.74 s
Episode: 229, Reward: -50264.53, Timesteps: 6569, Time taken: 1103.28 s
Episode: 230, Reward: -54238.57, Timesteps: 7253, Time taken: 1108.22 s
Episode: 231, Reward: -53643.37, Timesteps: 6915, Time taken: 1113.23 s
Episode: 232, Reward: -52477.73, Timesteps: 6701, Time taken: 1117.73 s
Episode: 233, Reward: -54411.55, Timesteps: 7181, Time taken: 1122.47 s
Episode: 234, Reward: -50983.13, Timesteps: 7003, Time taken: 1127.18 s
Episode: 235, Reward: -54534.36, Timesteps: 7134, Time taken: 1132.11 s
Episode: 236, Reward: -50977.51, Timesteps: 6723, Time taken: 1136.74 s
Episode: 237, Reward: -50975.68, Timesteps: 7576, Time taken: 1142.01 s
Episode: 238, Reward: -48787.87, Timesteps: 7304, Time taken: 1146.76 s
Episode: 239, Reward: -45868.44, Timesteps: 7123, Time taken: 1151.47 s
Episode: 240, Reward: -49746.29, Timesteps: 6892, Time taken: 1156.21 s
Episode: 241, Reward: -54697.53, Timesteps: 7665, Time taken: 1161.53 s
Episode: 242, Reward: -51670.83, Timesteps: 7506, Time taken: 1166.46 s
Episode: 243, Reward: -53483.25, Timesteps: 7461, Time taken: 1171.52 s
Episode: 244, Reward: -52280.84, Timesteps: 7433, Time taken: 1176.47 s
Episode: 245, Reward: -52610.86, Timesteps: 7165, Time taken: 1181.21 s
Episode: 246, Reward: -54975.6, Timesteps: 7563, Time taken: 1186.14 s
Episode: 247, Reward: -51041.8, Timesteps: 7754, Time taken: 1191.54 s
Episode: 248, Reward: -47872.22, Timesteps: 7730, Time taken: 1196.72 s
Episode: 249, Reward: -50636.63, Timesteps: 7879, Time taken: 1201.73 s
Episode: 250, Reward: -45908.75, Timesteps: 7874, Time taken: 1206.73 s
Episode: 251, Reward: -44151.42, Timesteps: 7556, Time taken: 1211.7 s
Episode: 252, Reward: -45514.79, Timesteps: 7371, Time taken: 1216.67 s
Episode: 253, Reward: -67280.44, Timesteps: 7734, Time taken: 1221.82 s
Episode: 254, Reward: -60978.57, Timesteps: 7722, Time taken: 1226.72 s
Episode: 255, Reward: -61117.07, Timesteps: 7868, Time taken: 1231.71 s
Episode: 256, Reward: -59164.18, Timesteps: 7756, Time taken: 1236.54 s
Episode: 257, Reward: -50896.2, Timesteps: 7829, Time taken: 1241.47 s
Episode: 258, Reward: -53229.66, Timesteps: 7571, Time taken: 1246.79 s
Episode: 259, Reward: -52157.71, Timesteps: 7524, Time taken: 1252.15 s
Episode: 260, Reward: -54866.04, Timesteps: 7460, Time taken: 1257.12 s
Episode: 261, Reward: -54091.63, Timesteps: 7702, Time taken: 1262.22 s
Episode: 262, Reward: -53580.6, Timesteps: 7496, Time taken: 1267.27 s
Episode: 263, Reward: -58630.47, Timesteps: 7883, Time taken: 1272.42 s
Episode: 264, Reward: -51802.43, Timesteps: 7063, Time taken: 1277.2 s
Episode: 265, Reward: -55069.92, Timesteps: 7344, Time taken: 1282.03 s
Episode: 266, Reward: -54763.36, Timesteps: 7518, Time taken: 1286.8 s
Episode: 267, Reward: -53215.71, Timesteps: 7322, Time taken: 1291.87 s
Episode: 268, Reward: -54183.22, Timesteps: 7877, Time taken: 1297.08 s
Episode: 269, Reward: -47644.97, Timesteps: 6816, Time taken: 1301.84 s
Episode: 270, Reward: -49743.04, Timesteps: 7173, Time taken: 1306.73 s
Episode: 271, Reward: -52646.94, Timesteps: 7544, Time taken: 1311.63 s
Episode: 272, Reward: -52963.25, Timesteps: 7099, Time taken: 1316.45 s
Episode: 273, Reward: -53067.16, Timesteps: 7528, Time taken: 1321.29 s
Episode: 274, Reward: -59496.48, Timesteps: 7643, Time taken: 1326.08 s
Episode: 275, Reward: -62727.77, Timesteps: 7973, Time taken: 1331.17 s
Episode: 276, Reward: -57384.34, Timesteps: 7957, Time taken: 1336.1 s
Episode: 277, Reward: -54848.45, Timesteps: 7833, Time taken: 1341.11 s
Episode: 278, Reward: -56701.8, Timesteps: 7623, Time taken: 1346.03 s
Episode: 279, Reward: -59195.25, Timesteps: 7992, Time taken: 1351.16 s
Episode: 280, Reward: -57401.09, Timesteps: 7922, Time taken: 1356.5 s
Episode: 281, Reward: -55599.29, Timesteps: 7858, Time taken: 1361.62 s
Episode: 282, Reward: -52290.66, Timesteps: 7306, Time taken: 1366.62 s
Episode: 283, Reward: -59402.54, Timesteps: 7939, Time taken: 1371.61 s
Episode: 284, Reward: -53816.27, Timesteps: 7860, Time taken: 1376.88 s
Episode: 285, Reward: -56453.88, Timesteps: 7836, Time taken: 1382.01 s
Episode: 286, Reward: -57925.34, Timesteps: 7932, Time taken: 1387.11 s
Episode: 287, Reward: -55779.85, Timesteps: 7950, Time taken: 1392.3 s
Episode: 288, Reward: -52134.88, Timesteps: 7889, Time taken: 1397.26 s
Episode: 289, Reward: -59509.76, Timesteps: 7967, Time taken: 1402.59 s
Episode: 290, Reward: -58723.55, Timesteps: 7918, Time taken: 1407.89 s
Episode: 291, Reward: -56529.25, Timesteps: 7824, Time taken: 1412.93 s
Episode: 292, Reward: -53276.93, Timesteps: 7901, Time taken: 1418.08 s
Episode: 293, Reward: -52801.98, Timesteps: 7550, Time taken: 1423.13 s
Episode: 294, Reward: -55927.42, Timesteps: 7882, Time taken: 1428.18 s
Episode: 295, Reward: -54010.74, Timesteps: 7609, Time taken: 1433.17 s
Episode: 296, Reward: -52842.92, Timesteps: 7858, Time taken: 1438.49 s
